Prov/Terr,FED ID,Federal Electoral Districts_x,Total,Total Income,Net Income,Taxable Income,Income per Resident,Province,Federal Electoral Districts_y,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Party Won
10,10001,Avalon,72030,3425814000,3168392000,3060218000,47560.93294,Newfoundland and Labrador,Avalon,81540,68487,220,42086,99.6,162,0.4,42248,61.7,Liberal
10,10002,Bonavista--Burin--Trinity,64920,2453784000,2303218000,2185134000,37797.04251,Newfoundland and Labrador,Bonavista--Burin--Trinity,76704,62462,260,35092,99.5,173,0.5,35265,56.5,Liberal
10,10003,Coast of Bays--Central--Notre Dame,65130,2458068000,2286474000,2173178000,37740.94887,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,78092,64226,233,35448,99.6,145,0.4,35593,55.4,Liberal
10,10004,Labrador,20830,1169248000,1089412000,992898000,56132.88526,Newfoundland and Labrador,Labrador,26728,20045,84,12373,99.6,53,0.4,12426,62,Liberal
10,10005,Long Range Mountains,77250,2914423000,2714495000,2579982000,37727.15858,Newfoundland and Labrador,Long Range Mountains,87592,71918,253,41824,99.7,108,0.3,41932,58.3,Liberal
10,10006,St. John's East,66670,3668269000,3345338000,3268761000,55021.28394,Newfoundland and Labrador,St. John's East,81936,66304,186,44880,99.8,111,0.2,44991,67.9,Liberal
10,10007,St. John's South--Mount Pearl,66270,3086318000,2836073000,2739070000,46571.87264,Newfoundland and Labrador,St. John's South--Mount Pearl,81944,67596,185,44801,99.7,133,0.3,44934,66.5,Liberal
TOTAL,,,433100,19175924000,17743402000,16999241000,44275.97322,,,,,,,,,,,,
11,11001,Cardigan,29970,1237610000,1140059000,1103647000,41294.96163,Prince Edward Island,Cardigan,36005,28889,90,22485,99.6,96,0.4,22581,78.2,Liberal
11,11002,Charlottetown,29650,1192487000,1098089000,1060050000,40218.78583,Prince Edward Island,Charlottetown,34562,28129,82,21165,99.5,99,0.5,21264,75.6,Liberal
11,11003,Egmont,29310,1079972000,1003318000,959122000,36846.53702,Prince Edward Island,Egmont,34598,27858,86,21362,99.6,87,0.4,21449,77,Liberal
11,11004,Malpeque,28880,1194581000,1098945000,1059173000,41363.60803,Prince Edward Island,Malpeque,35039,28629,81,22472,99.5,102,0.5,22574,78.9,Liberal
TOTAL,,,117810,4704650000,4340412000,4181993000,39934.21611,,,,,,,,,,,,
12,12001,Cape Breton--Canso,59950,2234171000,2074721000,1980399000,37267.23937,Nova Scotia,Cape Breton--Canso,75247,60785,218,43237,99.4,274,0.6,43511,71.6,Liberal
12,12002,Central Nova,60040,2370409000,2190341000,2106315000,39480.49634,Nova Scotia,Central Nova,74597,60594,224,44263,99.5,233,0.5,44496,73.4,Liberal
12,12003,Cumberland--Colchester,66070,2418184000,2242671000,2156801000,36600.33298,Nova Scotia,Cumberland--Colchester,82321,65461,218,46332,99.6,178,0.4,46510,71,Liberal
12,12004,Dartmouth--Cole Harbour,74670,3360261000,3056811000,2990209000,45001.48654,Nova Scotia,Dartmouth--Cole Harbour,91212,73710,200,52270,99.6,201,0.4,52471,71.2,Liberal
