Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,Over 75
10,10001,Avalon,72030,3425814000,2670,4470,4880,5600,5750,6110,6310,6800,6810,6620,6160,4340,5520
10,10002,Bonavista--Burin--Trinity,64920,2453784000,2330,3410,3100,3290,3790,4560,5520,6220,6620,7400,6840,4980,6870
10,10003,Coast of Bays--Central--Notre Dame,65130,2458068000,2270,3520,3340,3450,3850,4750,5700,6260,6670,6730,6470,4810,7320
10,10004,Labrador,20830,1169248000,930,1670,1980,1960,1870,1950,2190,2020,1790,1480,1240,820,940
10,10005,Long Range Mountains,77250,2914423000,2560,4360,4220,4110,4550,5400,6540,7660,8130,8390,7550,5480,8320
10,10006,St. John's East,66670,3668269000,2350,5180,5940,5830,5680,5780,5890,5890,5680,5070,4430,3510,5420
10,10007,St. John's South--Mount Pearl,66270,3086318000,2390,4900,5750,5720,5320,4930,5320,6290,6190,5800,4890,3600,5200
TOTAL,,,433100,19175924000,15490,27510,29220,29940,30810,33460,37440,41140,41900,41490,37560,27550,39590
11,11001,Cardigan,29970,1237610000,1350,2250,2040,2090,2230,2240,2460,2720,2810,2680,2630,1800,2690
11,11002,Charlottetown,29650,1192487000,1250,2710,2550,2170,2050,2070,2250,2430,2430,2550,2220,1710,3260
11,11003,Egmont,29310,1079972000,1450,2110,1940,1820,1930,2030,2310,2720,2800,2650,2500,1770,3280
11,11004,Malpeque,28880,1194581000,1500,2080,1850,1950,2040,2240,2370,2830,2830,2620,2360,1690,2540
TOTAL,,,117810,4704650000,5550,9150,8370,8020,8260,8580,9380,10690,10870,10500,9710,6970,11770
12,12001,Cape Breton--Canso,59950,2234171000,2200,3910,3360,3240,3440,3810,4390,5320,6100,6400,5960,4570,7280
12,12002,Central Nova,60040,2370409000,2230,3950,3680,3520,3880,4180,4530,5390,6050,5930,5690,4230,6780
12,12003,Cumberland--Colchester,66070,2418184000,2520,4470,4000,3940,4000,4550,5130,6150,6440,6360,5870,4650,8000
12,12004,Dartmouth--Cole Harbour,74670,3360261000,2480,5610,6140,5950,5790,5540,5720,7160,7320,6480,5410,3940,7130
12,12005,Halifax,72440,3582762000,2160,7580,9050,7100,5510,4750,4920,5530,5730,5490,4800,3340,6490
12,12006,Halifax West,75220,3719510000,2880,6090,6780,6660,6310,6430,6430,6950,6380,5310,4760,3760,6490
12,12007,Kings--Hants,67220,2632211000,2530,4770,4420,4230,4620,5010,5550,6470,6690,6260,5590,4100,6980
12,12008,Sackville--Preston--Chezzetcook,69410,3231041000,2900,5120,5320,5340,5830,6220,6390,7360,6770,5520,4730,3550,4370
12,12009,South Shore--St. Margarets,78020,3192345000,2790,4440,4310,4380,4670,5460,6210,7490,8120,7880,7460,5660,9170
12,12010,Sydney--Victoria,60190,2074518000,1980,4430,4140,3670,3530,3860,4310,5500,6150,6050,5380,4020,7170
12,12011,West Nova,70150,2465920000,2760,4320,4070,4110,4110,4620,5240,6770,7230,6580,6520,5080,8750
TOTAL,,,753400,31281331000,27420,54700,55280,52130,51690,54430,58800,70070,72970,68260,62170,46890,78600
13,13001,Acadie--Bathurst,68360,2408636000,2300,3730,3550,3600,4120,4810,5500,6750,7310,7230,6660,4880,7920
13,13002,Beauséjour,69250,2802172000,2630,3940,4060,4790,5240,5410,5490,6450,6810,6910,6130,4400,7010
13,13003,Fredericton,64650,2913354000,2480,5730,5870,5530,5190,5140,5150,5470,5210,4820,4460,3350,6240
13,13004,Fundy Royal,64050,2806496000,2820,4420,4010,4330,4820,5440,5480,6200,5920,5770,5430,3800,5610
13,13005,Madawaska--Restigouche,52220,1832242000,2100,2860,2870,2810,3180,3390,3830,5130,5900,5590,4960,3560,6050
13,13006,Miramichi--Grand Lake,48480,1614641000,1820,3050,2730,2610,2940,3450,3930,4610,4890,4880,4590,3310,5680
13,13007,Moncton--Riverview--Dieppe,75080,3066088000,2740,5940,6330,6240,5970,6160,5890,6320,6280,5880,5260,4130,7950
13,13008,New Brunswick Southwest,53530,2193562000,2120,3560,3490,3530,3830,4060,4410,5200,5310,5150,4510,3260,5100
